message_id,conversation_id,customer_text,parent_id,created_at,intent,label_notes
771050,771049,@SpotifyCares I tried that but it didn’t help fix the problem,771049,Fri Oct 13 22:38:41 +0000 2017,other_unclear,Human-approved suggestion. No clear taxonomy signal was found; please review the full message.
1532345,1532344,@SpotifyCares I shall drop you a DM in a bit. Seems to be happening to others though looking online and the Spotify forum thingy!,1532346,Fri Nov 03 20:34:01 +0000 2017,other_unclear,Human-approved suggestion. No clear taxonomy signal was found; please review the full message.
1564262,1564261,"@SpotifyCares This is real off point, not only does it look atrocious, the app doesn’t even work properly. Will be switching to Apple Music on Tuesday morning if there is no update by then.",1564261,Thu Nov 09 23:47:30 +0000 2017,app_technical_issue,"Human-approved suggestion. Matched taxonomy signals for app_technical_issue: app, work, update."
187578,187577,@SpotifyCares Okay. Thankyou.,187579,Wed Oct 04 07:38:13 +0000 2017,other_unclear,Human-approved suggestion. No clear taxonomy signal was found; please review the full message.
95843,95838,"@SpotifyCares Ah OK, that explains why I can’t find it! :)",95842,Thu Nov 30 16:34:36 +0000 2017,,
2692983,2692979,@SpotifyCares Thanks so much! ☕️☕️,2692982,Sun Nov 19 18:52:59 +0000 2017,,
999827,999824,@SpotifyCares @356738 Is there any way that fans can know if they're getting an email?,999826,Thu Oct 12 04:09:20 +0000 2017,,
717619,717618,@SpotifyCares I’m still waiting on my student discount to be applied I am still paying regular price.,717618,Fri Oct 06 15:02:41 +0000 2017,,
113807,113805,"@SpotifyCares Yeah. I've already replied to that thread, months ago - and the thread was started in 2014. So it's nice that Spotify 'hears us', but… it doesn't feel like you're doing anything about it. Rather frustrating.",113805,Thu Nov 23 21:14:49 +0000 2017,,
707521,707520,"@SpotifyCares No, it’s OK; you’ve been very helpful. Thanks!",707522,Tue Oct 10 19:50:58 +0000 2017,,
494218,494217,"@SpotifyCares iPhone 7s plus, iOS 11.1.1, Spotify updated this morning to 8.4.28.1104. 
Experiencing both using Bluetooth in my Toyota Corolla and played directly on device.",494217,Fri Dec 01 21:14:03 +0000 2017,,
1169125,1169121,@SpotifyCares Definatly,1169126,Tue Oct 24 18:04:14 +0000 2017,,
1643023,1643022,"@SpotifyCares No, it's fine thank you for caring xoxo",1643022,Tue Oct 17 15:49:41 +0000 2017,,
1852506,1852505,@SpotifyCares Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!,1852505,Thu Oct 19 02:58:20 +0000 2017,,
