message_id,conversation_id,customer_text,intent,label_notes,review_status,provisional_intent,provisional_reason
771050,771049,@SpotifyCares I tried that but it didn’t help fix the problem,app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: problem.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: problem.
1532345,1532344,@SpotifyCares I shall drop you a DM in a bit. Seems to be happening to others though looking online and the Spotify forum thingy!,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1564262,1564261,"@SpotifyCares This is real off point, not only does it look atrocious, the app doesn’t even work properly. Will be switching to Apple Music on Tuesday morning if there is no update by then.",app_technical_issue,"Human-approved unchanged suggestion. Matched signals for app_technical_issue: app, work, update.",HUMAN_REVIEWED,app_technical_issue,"Matched signals for app_technical_issue: app, work, update."
187578,187577,@SpotifyCares Okay. Thankyou.,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
95843,95838,"@SpotifyCares Ah OK, that explains why I can’t find it! :)",feature_or_policy_information,Human-approved unchanged suggestion. Matched signals for feature_or_policy_information: why.,HUMAN_REVIEWED,feature_or_policy_information,Matched signals for feature_or_policy_information: why.
2692983,2692979,@SpotifyCares Thanks so much! ☕️☕️,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
999827,999824,@SpotifyCares @356738 Is there any way that fans can know if they're getting an email?,account_access,Human-approved unchanged suggestion. Matched signals for account_access: email.,HUMAN_REVIEWED,account_access,Matched signals for account_access: email.
717619,717618,@SpotifyCares I’m still waiting on my student discount to be applied I am still paying regular price.,subscription_plan_billing,"Human-approved unchanged suggestion. Matched signals for subscription_plan_billing: price, student discount.",HUMAN_REVIEWED,subscription_plan_billing,"Matched signals for subscription_plan_billing: price, student discount."
113807,113805,"@SpotifyCares Yeah. I've already replied to that thread, months ago - and the thread was started in 2014. So it's nice that Spotify 'hears us', but… it doesn't feel like you're doing anything about it. Rather frustrating.",other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
707521,707520,"@SpotifyCares No, it’s OK; you’ve been very helpful. Thanks!",other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
494218,494217,"@SpotifyCares iPhone 7s plus, iOS 11.1.1, Spotify updated this morning to 8.4.28.1104. 
Experiencing both using Bluetooth in my Toyota Corolla and played directly on device.",device_platform_compatibility,"Human-approved unchanged suggestion. Matched signals for device_platform_compatibility: iphone, ios, device.",HUMAN_REVIEWED,device_platform_compatibility,"Matched signals for device_platform_compatibility: iphone, ios, device."
1169125,1169121,@SpotifyCares Definatly,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1643023,1643022,"@SpotifyCares No, it's fine thank you for caring xoxo",other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1852506,1852505,@SpotifyCares Hi! Janella P. From Spotify solved my problem! Please thank her for me! And thank you for replying so quickly!,app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: problem.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: problem.
773111,773110,@SpotifyCares payment for student premium only via credit card or there will be another way?,subscription_plan_billing,"Human-approved unchanged suggestion. Matched signals for subscription_plan_billing: premium, payment.",HUMAN_REVIEWED,subscription_plan_billing,"Matched signals for subscription_plan_billing: premium, payment."
2125249,2125248,"@SpotifyCares No, thanks. 🙂 My problem about Spotify was clear!",app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: problem.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: problem.
1362120,1362119,"@SpotifyCares Can't believe you are so prompt. Forget my problem, you're so divine. Your social listening abilities are super awesome. Rspkt",app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: problem.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: problem.
89535,89534,"@SpotifyCares Thanks for response! The app says that music is playing, but no sound comes out. I have to restart to make it work again.",other_unclear,"Human-approved unchanged suggestion. Signals are tied between: playback_audio_issue, app_technical_issue; human review is required.",HUMAN_REVIEWED,other_unclear,"Signals are tied between: playback_audio_issue, app_technical_issue; human review is required."
2422829,2422825,@SpotifyCares Do you think it only affects me? That all other users get their correct location from your database but mine and mine alone is pulled from IP?,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1298054,1298050,@SpotifyCares Yes it did. Thank you!,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1692160,1692152,@SpotifyCares Doesn’t work 🙁 it keeps logging me out and skipping and pausing songs.,app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: work.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: work.
1490604,1490600,@SpotifyCares Actually I can't access any of my songs before I could choose what song to listen too also if I go on shuffle play and a song I dislike is on I have a certain amount of skips and before you say I need premium I already have premium so help 😰,playback_audio_issue,"Human-approved unchanged suggestion. Matched signals for playback_audio_issue: song, shuffle, listen.",HUMAN_REVIEWED,playback_audio_issue,"Matched signals for playback_audio_issue: song, shuffle, listen."
328661,328660,@SpotifyCares Low power mode is working for now. Will do a complete device reset after I can it up and reach back out.,other_unclear,"Human-approved unchanged suggestion. Signals are tied between: app_technical_issue, device_platform_compatibility, feature_or_policy_information; human review is required.",HUMAN_REVIEWED,other_unclear,"Signals are tied between: app_technical_issue, device_platform_compatibility, feature_or_policy_information; human review is required."
315129,315119,@SpotifyCares My main profile is https://t.co/GzHhm3mago but my music was moved to https://t.co/ntUudiZ5X8,playback_audio_issue,Human-approved unchanged suggestion. Matched signals for playback_audio_issue: music.,HUMAN_REVIEWED,playback_audio_issue,Matched signals for playback_audio_issue: music.
1776734,1776730,"@SpotifyCares I try to shuffle in playlist and it really doesn't play randomly, plays the same artist almost continuously. Don't know what connect is",other_unclear,"Human-approved unchanged suggestion. Signals are tied between: playback_audio_issue, playlist_library_downloads; human review is required.",HUMAN_REVIEWED,other_unclear,"Signals are tied between: playback_audio_issue, playlist_library_downloads; human review is required."
1312611,1312609,@SpotifyCares Yup just checked 3 or 4 artists and only like 30 songs in the queue. This is also on mobile if that makes a difference,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
2293246,2293245,@SpotifyCares Thanks!,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
1691143,1526264,"@SpotifyCares Thank you. But does that move an account., or just delete it along with the history and playlists etc?",account_access,Human-approved unchanged suggestion. Matched signals for account_access: account.,HUMAN_REVIEWED,account_access,Matched signals for account_access: account.
2317516,2317510,@SpotifyCares I've already restarted numerous times today with it happening but I'll humor you!,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
2153115,2153114,@SpotifyCares I Guess There Wont Be A Spotify App For The Apple Watch Any Time Soon ! 😩,app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: app.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: app.
1180908,1180902,"@SpotifyCares Can you just pass the message to your app development team, ta.",app_technical_issue,Human-approved unchanged suggestion. Matched signals for app_technical_issue: app.,HUMAN_REVIEWED,app_technical_issue,Matched signals for app_technical_issue: app.
974980,974979,@SpotifyCares CAN YOU PLEASE REPLY MY DM?,other_unclear,Human-approved unchanged suggestion. No taxonomy signal was detected; human review is required.,HUMAN_REVIEWED,other_unclear,No taxonomy signal was detected; human review is required.
394676,394673,@SpotifyCares Yes my phone is the only device this seems to be happening on,device_platform_compatibility,"Human-approved unchanged suggestion. Matched signals for device_platform_compatibility: device, phone.",HUMAN_REVIEWED,device_platform_compatibility,"Matched signals for device_platform_compatibility: device, phone."
